TXT003,TXT001
30345,GESTION DEL CAMBIO ORGANIZACIONAL
30346,MERCADO LABORAL Y EMPLEABILIDAD
30347,DIRECCION ESTRATEGICA DEL TALENTO
30348,FUNDAMENTOS DE FINANZAS
30349,HERRAMIENTAS INFORMATICAS PARA LAS FINANZAS
30350,BANCA Y FINANZAS DIGITALES
30351,GESTION FINANCIERA BANCARIA
30352,INNOVACION PARA HOTELES Y RESTAURANTES
30353,COMUNICACION INTERNA
30354,PROYECTOS DE COMUNICACION CORPORATIVA
30355,MARKETING DE SERVICIOS
30356,TRANSFORMACION DIGITAL
30357,ESTRATEGIA Y GESTION DE CUENTAS
30358,DIRECCION GRAFICA PUBLICITARIA
30359,PRODUCCION PUBLICITARIA
30360,PLANEAMIENTO ESTRATEGICO DE CAMPAÑAS
30361,ANALISIS Y DISEÑO DE SISTEMAS I
30362,ANALISIS Y DISEÑO DE SISTEMAS II
30363,INTRODUCCION A LA INDUSTRIA DE VIDEOJUEGOS
30364,DISEÑO DE VIDEOJUEGOS EN 2D
30365,SISTEMA DE SONIDOS PARA VIDEOJUEGOS
30366,MODELADO 3D PARA VIDEOJUEGOS
30376,SOLUCIONES BASADAS EN INTERNET DE LAS COSAS
30377,GERENCIA DE PROYECTOS DEPORTIVOS
30379,INVESTIGACION DE MERCADOS GLOBALES
30380,ESTRATEGIAS DE INTERNACIONALIZACION
30383,LENGUAJE Y ESTETICA AUDIOVISUAL
30384,NARRATIVA AUDIOVISUAL Y STORYTELLING
30385,TALLER DE ILUMINACION
30386,TENDENCIAS DIGITALES AUDIOVISUALES
30387,TALLER DE DOCUMENTALES
30388,DIRECCION ESCENICA Y DRAMATURGIA
30389,TALLER DE CONTENIDOS DE FICCION Y SERIALES
30390,TALLER DE GUION AUDIOVISUAL TRANSMEDIA
30391,SONIDO Y MUSICALIZACION
30392,EDICION AUDIOVISUAL
30393,PROYECTO DE COMUNICACION AUDIOVISUAL
30394,POST PRODUCCION AUDIOVISUAL Y EFECTOS ESPECIALES
30395,TEORÍA E HISTORIA DEL DISEÑO DE ESPACIOS
30396,REPRESENTACIÓN ESPACIAL Y VOLUMETRÍA
30397,DIBUJO TÉCNICO
30398,TALLER DE DISEÑO DE ESPACIOS
30399,AMBIENTACIÓN Y COLOR
30400,ERGONOMÍA Y ANTROPOMETRÍA
30401,DIBUJO Y REPRESENTACIÓN 3D
30402,PROCESOS CONSTRUCTIVOS E INSTALACIONES
30403,MATERIALES Y ACABADOS
30404,DISEÑO HABITACIONAL SOSTENIBLE
30405,DIRECCIÓN DE OBRA
30406,DISEÑO INTEGRAL DE ESPACIOS INTERIORES RESIDENCIALES
30407,DISEÑO DE MOBILIARIO
30408,ILUMINACIÓN
30409,COSTOS Y PRESUPUESTOS DE DISEÑO
30410,ESCENOGRAFÍA Y ESPACIOS EXPOSITIVOS
30411,TECNOLOGÍA DIGITAL EN INTERIORES
30412,DIRECCIÓN Y DISEÑO INTEGRAL DE ESPACIOS COMERCIALES
30413,VISUAL MERCHANDISING Y RETAIL DESIGN
30420,FUNDAMENTOS DE LA ADMINISTRACION BANCARIA Y FINANCIERA
30421,OPERACIONES DE CAJA
30422,PRODUCTOS FINANCIEROS
30423,SERVICIO AL CLIENTE FINANCIERO
30424,LEGISLACION BANCARIA
30425,GESTION COMERCIAL DE AGENCIAS
30426,BANCA PERSONAL
30427,BANCA PARA PYMES Y MYPES
30428,BANCA DE INVERSION
30429,ADMINISTRACION DE AGENCIAS
30430,BANCA EMPRESARIAL
30431,FUNDAMENTOS DE LOGISTICA
30432,GESTIÓN DE COMPRAS
30433,CALIDAD Y SEGURIDAD EN ABASTECIMIENTO
30434,INNOVACION EN LOGISTICA
